00|198600|02|on
01|198626|02|on
02|198627|02|on
03|198629|02|on
04|198630|02|of
05|198633|02|of
06|198637|02|of
07|198640|02|of
08|198643|02|of
09|198646|02|on
10|198648|02|on
11|198650|02|on
12|198651|02|on
13|198653|02|on
14|198655|02|on
15|198656|02|of
16|198658|02|on
17|198660|02|of
18|198661|02|on
19|198664|02|on
20|198667|02|of
21|198670|02|on
22|198673|02|of
23|198677|02|of
24|198679|02|on
25|198682|02|of
26|198684|02|of
27|198687|02|on
28|198689|02|on
29|198691|02|on
30|198693|02|of
31|198696|02|of
32|198698|02|of
33|198701|02|of
34|198703|02|of
35|198705|02|of
36|198707|02|on
37|198710|02|on
38|198713|02|on
39|198715|02|on
40|198718|02|on
41|198721|02|on
42|198724|02|on
43|198727|02|on
44|198730|02|on
45|198732|02|on
46|198735|02|on
47|198738|02|on
48|198740|02|of
49|198743|02|on
50|198745|02|on
51|198747|02|of
52|198748|02|on
53|198750|02|on
54|198752|02|on
55|198753|02|of
56|198755|02|of
57|198757|02|of
58|198758|02|on
59|198761|02|of
60|198763|02|on
61|198765|02|on
62|198768|02|on
63|198770|02|of
64|198771|02|of
65|198773|02|on
66|198774|02|on
67|198776|02|of
68|198778|02|on
69|198779|02|of
70|198781|02|of
71|198782|02|on
72|198784|02|of
73|198785|02|on
74|198788|02|of
75|198790|02|of
76|198793|02|on
77|198796|02|of
78|198799|02|of
79|198801|02|on
80|198803|02|of
81|198805|02|on
82|198806|02|of
83|198809|02|on
84|198812|02|of
85|198814|02|on
86|198816|02|of
87|198819|02|of
88|198821|02|on
89|198823|02|of
90|198825|02|of
91|198828|02|of
92|198831|02|on
93|198835|02|on
94|198838|02|of
95|198839|02|on
96|198841|02|of
97|198842|02|of
98|198844|02|of
99|198845|02|of
09|199618|02|of
08|199621|02|on
07|199624|02|on
06|199626|02|on
05|199629|02|of
04|199631|02|of
03|199633|02|of
02|199635|02|on
01|199637|02|on
00|199638|02|of
19|199640|02|of
18|199642|02|of
17|199643|02|of
16|199645|02|of
15|199646|02|on
14|199648|02|on
13|199650|02|on
12|199651|02|on
11|199653|02|of
10|199654|02|of
29|199656|02|of
28|199657|02|on
27|199659|02|on
26|199661|02|of
25|199662|02|on
24|199664|02|on
23|199665|02|of
22|199667|02|on
21|199668|02|on
20|199670|02|on
39|199672|02|of
38|199673|02|on
37|199675|02|on
36|199676|02|of
35|199678|02|on
34|199679|02|of
33|199681|02|of
32|199682|02|on
31|199684|02|of
30|199686|02|on
49|199687|02|on
48|199689|02|on
47|199691|02|on
46|199693|02|on
45|199695|02|on
44|199698|02|of
43|199700|02|on
42|199702|02|on
41|199704|02|on
40|199706|02|of
59|199708|02|of
58|199710|02|of
57|199711|02|on
56|199713|02|on
55|199714|02|of
54|199716|02|of
53|199718|02|of
52|199719|02|of
51|199721|02|of
50|199722|02|on
69|199724|02|on
68|199726|02|on
67|199727|02|on
66|199729|02|on
65|199730|02|of
64|199732|02|on
63|199734|02|on
62|199735|02|on
61|199737|02|on
60|199738|02|of
79|199740|02|on
78|199742|02|on
77|199743|02|of
76|199745|02|of
75|199747|02|of
74|199749|02|of
73|199752|02|of
72|199755|02|of
71|199757|02|of
70|199760|02|on
89|199762|02|on
88|199765|02|on
87|199767|02|on
86|199769|02|of
85|199770|02|on
84|199772|02|on
83|199774|02|on
82|199775|02|on
81|199777|02|of
80|199779|02|of
99|199780|02|on
98|199782|02|of
97|199783|02|on
96|199785|02|on
95|199786|02|of
94|199788|02|on
93|199789|02|of
92|199792|02|on
91|199794|02|of
90|199797|02|of
99|199800|02|of
98|199802|02|of
97|199804|02|on
96|199806|02|on
95|199807|02|on
94|199809|02|on
93|199811|02|on
92|199813|02|of
91|199816|02|of
90|199819|02|on
89|199821|02|on
88|199823|02|on
87|199825|02|on
86|199827|02|of
85|199830|02|on
84|199832|02|on
83|199834|02|on
82|199836|02|of
81|199838|02|on
80|199840|02|on
79|199842|02|on
78|199844|02|on
77|199846|02|on
76|199848|02|of
75|199850|02|on
74|199852|02|of
73|199854|02|of
72|199856|02|of
71|199857|02|on
70|199859|02|on
69|199861|02|on
68|199863|02|on
67|199865|02|of
66|199867|02|of
65|199868|02|of
64|199870|02|on
63|199871|02|on
62|199872|02|on
61|199874|02|on
60|199875|02|on
59|199876|02|of
58|199878|02|of
57|199879|02|on
56|199880|02|on
55|199882|02|of
54|199883|02|of
53|199884|02|on
52|199885|02|of
51|199887|02|of
50|199888|02|on
49|199889|02|on
48|199891|02|of
47|199892|02|on
46|199893|02|of
45|199894|02|on
44|199896|02|on
43|199897|02|of
42|199898|02|of
41|199900|02|on
40|199901|02|on
39|199902|02|on
38|199904|02|on
37|199906|02|on
36|199907|02|on
35|199910|02|of
34|199912|02|on
33|199914|02|on
32|199916|02|on
31|199918|02|on
30|199920|02|on
29|199921|02|of
28|199923|02|of
27|199924|02|of
26|199926|02|of
25|199927|02|on
24|199929|02|on
23|199931|02|of
22|199933|02|of
21|199934|02|of
20|199936|02|of
19|199938|02|on
18|199940|02|of
17|199942|02|of
16|199944|02|of
15|199946|02|on
14|199948|02|on
13|199950|02|of
12|199951|02|on
11|199953|02|of
10|199955|02|of
09|199957|02|of
08|199959|02|on
07|199961|02|on
06|199962|02|on
05|199964|02|of
04|199966|02|of
03|199967|02|of
02|199969|02|of
01|199971|02|on
00|199972|02|on
90|199974|02|on
91|199976|02|on
92|199977|02|on
93|199979|02|of
94|199981|02|of
95|199982|02|of
96|199984|02|of
97|199985|02|of
