00|198498|01|50|383
01|198500|01|151|34
02|198502|01|125|971
03|198503|01|56|471
04|198504|01|59|303
05|198506|01|176|900
06|198507|01|92|860
07|198508|01|166|596
08|198510|01|73|271
09|198511|01|105|899
10|198513|01|70|886
11|198514|01|158|978
12|198515|01|237|589
13|198517|01|125|411
14|198518|01|136|790
15|198520|01|59|300
16|198521|01|103|661
17|198523|01|245|578
18|198523|01|167|852
19|198524|01|140|189
20|198525|01|289|233
21|198526|01|165|661
22|198527|01|71|722
23|198528|01|148|732
24|198529|01|183|556
25|198530|01|145|517
26|198530|01|116|488
27|198531|01|190|335
28|198532|01|158|0
29|198533|01|179|984
30|198534|01|138|988
31|198535|01|188|5
32|198536|01|114|338
33|198537|01|59|544
34|198538|01|71|90
35|198539|01|192|335
36|198539|01|50|541
37|198540|01|258|60
38|198541|01|256|981
39|198542|01|154|411
40|198543|01|140|898
41|198544|01|118|143
42|198545|01|68|243
43|198545|01|170|6
44|198546|01|89|22
45|198547|01|164|478
46|198548|01|215|566
47|198549|01|215|368
48|198550|01|76|901
49|198550|01|78|466
50|198551|01|243|474
51|198552|01|113|0
52|198553|01|137|694
53|198554|01|214|0
54|198555|01|169|316
55|198555|01|220|373
56|198556|01|207|631
57|198557|01|89|210
58|198558|01|145|234
59|198559|01|61|274
60|198560|01|242|696
61|198561|01|174|345
62|198561|01|120|675
63|198562|01|68|526
64|198563|01|83|384
65|198564|01|127|667
66|198565|01|144|575
67|198566|01|247|92
68|198567|01|66|697
69|198567|01|260|874
70|198568|01|133|697
71|198569|01|123|994
72|198570|01|89|395
73|198571|01|259|740
74|198571|01|153|663
75|198572|01|110|869
76|198573|01|78|687
77|198574|01|257|687
78|198575|01|151|596
79|198576|01|111|541
80|198578|01|260|331
81|198579|01|237|956
82|198580|01|186|162
83|198582|01|244|97
84|198583|01|215|910
85|198584|01|206|28
86|198585|01|93|432
87|198587|01|144|707
88|198588|01|169|397
89|198589|01|277|244
90|198590|01|277|949
91|198591|01|251|175
92|198592|01|280|631
93|198593|01|229|221
94|198594|01|110|948
95|198595|01|75|736
96|198596|01|286|831
97|198596|01|87|287
98|198597|01|222|89
99|198598|01|138|53
09|199230|01|125|624
08|199231|01|158|225
07|199232|01|197|129
06|199233|01|275|310
05|199234|01|141|959
04|199234|01|164|549
03|199235|01|245|768
02|199236|01|78|810
01|199237|01|80|636
00|199238|01|189|136
19|199240|01|216|754
18|199241|01|171|456
17|199242|01|285|99
16|199243|01|274|356
15|199244|01|176|332
14|199245|01|198|755
13|199247|01|131|959
12|199248|01|80|447
11|199249|01|80|110
10|199250|01|105|476
29|199252|01|190|278
28|199253|01|250|274
27|199254|01|56|356
26|199256|01|232|532
25|199257|01|143|718
24|199258|01|116|366
23|199258|01|209|539
22|199260|01|258|651
21|199261|01|68|89
20|199262|01|183|555
39|199264|01|86|489
38|199266|01|87|406
37|199267|01|216|549
36|199269|01|175|507
35|199270|01|215|73
34|199271|01|113|498
33|199272|01|194|924
32|199273|01|239|733
31|199274|01|232|391
30|199275|01|167|579
49|199277|01|157|341
48|199278|01|97|866
47|199279|01|249|68
46|199280|01|181|622
45|199281|01|270|948
44|199283|01|191|250
43|199284|01|203|492
42|199286|01|256|700
41|199287|01|239|580
40|199289|01|67|691
59|199289|01|221|387
58|199291|01|103|151
57|199292|01|122|142
56|199294|01|137|783
55|199295|01|101|575
54|199296|01|97|451
53|199297|01|63|719
52|199298|01|220|784
51|199299|01|110|296
50|199300|01|150|609
69|199301|01|187|234
68|199301|01|155|787
67|199302|01|134|963
66|199303|01|268|548
65|199304|01|287|446
64|199305|01|204|721
63|199305|01|235|207
62|199306|01|126|963
61|199307|01|225|467
60|199308|01|119|285
79|199309|01|62|207
78|199310|01|155|918
77|199310|01|93|322
76|199311|01|160|334
75|199312|01|53|934
74|199313|01|199|965
73|199314|01|90|370
72|199315|01|181|219
71|199315|01|221|642
70|199316|01|130|866
89|199317|01|163|923
88|199318|01|50|125
87|199319|01|207|880
86|199320|01|84|287
85|199321|01|123|736
84|199322|01|222|212
83|199322|01|64|726
82|199323|01|222|696
81|199324|01|80|59
80|199325|01|61|46
99|199326|01|241|319
98|199326|01|58|419
97|199327|01|64|116
96|199328|01|56|11
95|199329|01|213|39
94|199330|01|175|497
93|199331|01|149|911
92|199331|01|158|880
91|199332|01|221|69
90|199333|01|54|428
99|199334|01|239|987
98|199335|01|284|363
97|199336|01|155|530
96|199337|01|122|439
95|199338|01|155|550
94|199338|01|86|920
93|199339|01|80|239
92|199340|01|186|909
91|199341|01|260|504
90|199342|01|127|676
89|199342|01|75|402
88|199343|01|86|559
87|199344|01|86|698
86|199345|01|204|726
85|199346|01|101|242
84|199346|01|187|312
83|199347|01|282|913
82|199348|01|228|393
